report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,ALL,본죽,1020,1078,0.7402,0.7375,0.3069,0.2857,-0.36,-6.91,No,No,0.48,0.46,0.0,0.0,,51.4
2026-06-03,BAEMIN_DELIVERY,맥도날드,1043,1044,0.7114,0.6868,0.2819,0.2423,-3.46,-14.05,No,Yes,0.2,0.23,0.0029,0.0029,0.0,50.0
2026-06-03,ALL,빽다방,1005,1037,0.6955,0.704,0.2458,0.2363,1.22,-3.86,No,No,0.61,0.64,0.0,0.0,,50.8
2026-06-03,ALL,교촌,1043,993,0.7469,0.7261,0.2244,0.2316,-2.78,3.21,No,No,0.45,0.46,0.0038,0.0,-100.0,48.8
2026-06-03,BAEMIN_DELIVERY,롯데리아,1015,998,0.7813,0.7535,0.3547,0.3126,-3.56,-11.87,No,Yes,0.19,0.32,0.003,0.004,33.33,49.6
2026-06-03,ALL,피자스쿨,961,984,0.7513,0.7185,0.2466,0.2093,-4.37,-15.13,No,Yes,0.36,0.47,0.0,0.0,,50.6
2026-06-03,BAEMIN_DELIVERY,김치찜,1057,872,0.6395,0.6422,0.2394,0.2431,0.42,1.55,No,No,2.43,2.05,0.0,0.0,,45.2
2026-06-03,ALL,공차,982,901,0.7444,0.7691,0.2138,0.202,3.32,-5.52,No,No,0.37,0.42,0.0,0.0,,47.8
2026-06-03,ALL,김치찜,997,862,0.5145,0.5615,0.1926,0.2007,9.14,4.21,Yes,No,0.83,0.93,0.0,0.0,,46.4
2026-06-03,ALL,파스타,935,835,0.539,0.5317,0.1647,0.1653,-1.35,0.36,No,No,0.83,0.97,0.0,0.0,,47.2
