report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,BAEMIN_DELIVERY,맥도날드,1043,1044,0.7114,0.6868,0.2819,0.2423,-3.46,-14.05,No,Yes,0.2,0.23,0.0029,0.0029,0.0,50.0
2026-06-03,ALL,빽다방,1007,1037,0.6961,0.704,0.2453,0.2363,1.13,-3.67,No,No,0.61,0.64,0.0,0.0,,50.7
2026-06-03,ALL,교촌,1045,993,0.7474,0.7261,0.223,0.2316,-2.85,3.86,No,No,0.45,0.46,0.0038,0.0,-100.0,48.7
2026-06-03,BAEMIN_DELIVERY,롯데리아,1015,998,0.7813,0.7535,0.3547,0.3126,-3.56,-11.87,No,Yes,0.19,0.32,0.003,0.004,33.33,49.6
2026-06-03,ALL,피자스쿨,960,984,0.751,0.7185,0.2458,0.2093,-4.33,-14.85,No,No,0.36,0.47,0.0,0.0,,50.6
2026-06-03,BAEMIN_DELIVERY,김치찜,1057,872,0.6395,0.6422,0.2394,0.2431,0.42,1.55,No,No,2.43,2.05,0.0,0.0,,45.2
2026-06-03,ALL,공차,982,901,0.7444,0.7691,0.2138,0.202,3.32,-5.52,No,No,0.37,0.42,0.0,0.0,,47.8
2026-06-03,ALL,김치찜,998,862,0.515,0.5615,0.1924,0.2007,9.03,4.31,Yes,No,0.84,0.93,0.0,0.0,,46.3
2026-06-03,ALL,파스타,935,835,0.539,0.5317,0.1647,0.1653,-1.35,0.36,No,No,0.83,0.97,0.0,0.0,,47.2
2026-06-03,BAEMIN_DELIVERY,메가커피,948,811,0.6646,0.6683,0.2025,0.2109,0.56,4.15,No,No,1.54,1.64,0.0042,0.0,-100.0,46.1
2026-06-03,ALL,찜닭,937,803,0.5699,0.6015,0.19,0.1943,5.54,2.26,No,No,1.09,0.86,0.0,0.0,,46.1
2026-06-03,ALL,베스킨라빈스,824,833,0.8119,0.8307,0.2985,0.2569,2.32,-13.94,No,No,0.31,0.28,0.0012,0.0,-100.0,50.3
2026-06-03,ALL,BHC,816,829,0.7868,0.7636,0.2488,0.234,-2.95,-5.95,No,No,0.55,0.58,0.0,0.0,,50.4
